,object,disperser,filt,evnum,flat,airmass,date,exposure,gain,RA,DEC,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,file
0,HD116405,Ron145PDM19,None,1,FLAT_Filtre_None_bin1x1,1.3635759505885878,2019-02-14T23:41:22.495856,4.0,4.8,13.379201048884035,44.7149753302912,205.7786977378891,183.34504599768917,50.0,50.0,No,T1M_20190214_234122_495_HD116405-Ronchi_Filtre_None_bin1x1.1_red.fit
1,HD116405,Ron145PDM19,None,2,FLAT_Filtre_None_bin1x1,1.3595483162054616,2019-02-14T23:42:28.130353,4.0,4.8,13.379201048884035,44.7149753302912,207.44906670522164,181.8416129542247,50.0,50.0,No,T1M_20190214_234228_130_HD116405-Ronchi_Filtre_None_bin1x1.2_red.fit
2,HD116405,Ron145PDM19,None,3,FLAT_Filtre_None_bin1x1,1.3552396160510602,2019-02-14T23:43:38.976759,30.0,4.8,13.379201048884035,44.7149753302912,209.8823238820473,188.26218369941898,50.0,50.0,No,T1M_20190214_234338_976_HD116405-Ronchi_Filtre_None_bin1x1.3_red.fit
3,HD116405,Ron145PDM19,None,4,FLAT_Filtre_None_bin1x1,1.3522634918345953,2019-02-14T23:44:28.299483,30.0,4.8,13.379201048884035,44.7149753302912,208.0217533002144,187.4894574461221,50.0,50.0,No,T1M_20190214_234428_299_HD116405-Ronchi_Filtre_None_bin1x1.4_red.fit
4,HD116405,Holo150PDM19,None,1,FLAT_Filtre_None_bin1x1,1.0128014665313918,2019-02-15T02:53:58.927725,60.0,4.8,13.379201048884035,44.7149753302912,396.0555040210003,332.8504741088845,50.0,50.0,No,T1M_20190215_025358_927_HD116405-HOE200MM_Filtre_None_bin1x1.1_red.fit
5,HD116405,Holo150PDM19,None,2,FLAT_Filtre_None_bin1x1,1.0122579254963349,2019-02-15T02:55:04.461868,60.0,4.8,13.379201048884035,44.7149753302912,413.75715777731835,337.6730225782672,50.0,50.0,No,T1M_20190215_025504_461_HD116405-HOE200MM_Filtre_None_bin1x1.2_red.fit
6,HD116405,Holo150PDM19,None,3,FLAT_Filtre_None_bin1x1,1.0117282769816671,2019-02-15T02:56:09.821208,60.0,4.8,13.379201048884035,44.7149753302912,300.2836422618751,192.52784607264917,50.0,50.0,No,T1M_20190215_025609_821_HD116405-HOE200MM_Filtre_None_bin1x1.3_red.fit
7,HD116405,Holo150PDM19,None,4,FLAT_Filtre_None_bin1x1,1.0112110194977977,2019-02-15T02:57:15.181693,60.0,4.8,13.379201048884035,44.7149753302912,327.0509940662695,197.00620933176762,50.0,50.0,No,T1M_20190215_025715_181_HD116405-HOE200MM_Filtre_None_bin1x1.4_red.fit
8,HD116405,Holo150PDM19,None,5,FLAT_Filtre_None_bin1x1,1.0107061245168658,2019-02-15T02:58:20.543812,60.0,4.8,13.379201048884035,44.7149753302912,340.9258933935495,200.36686545336624,50.0,50.0,No,T1M_20190215_025820_543_HD116405-HOE200MM_Filtre_None_bin1x1.5_red.fit
9,HD116405,Holo150PDM19,None,6,FLAT_Filtre_None_bin1x1,1.01021359151068,2019-02-15T02:59:25.904425,60.0,4.8,13.379201048884035,44.7149753302912,359.18613938484185,202.69107526933453,50.0,50.0,No,T1M_20190215_025925_904_HD116405-HOE200MM_Filtre_None_bin1x1.6_red.fit
10,HD116405,Holo150PDM19,None,7,FLAT_Filtre_None_bin1x1,1.009733367350053,2019-02-15T03:00:31.267404,60.0,4.8,13.379201048884035,44.7149753302912,380.75187489691007,204.5183613947501,50.0,50.0,No,T1M_20190215_030031_267_HD116405-HOE200MM_Filtre_None_bin1x1.7_red.fit
11,HD116405,Holo150PDM19,None,8,FLAT_Filtre_None_bin1x1,1.009265453474157,2019-02-15T03:01:36.629398,60.0,4.8,13.379201048884035,44.7149753302912,399.1125944771012,206.15800249185048,50.0,50.0,No,T1M_20190215_030136_629_HD116405-HOE200MM_Filtre_None_bin1x1.8_red.fit
12,HD116405,Holo150PDM19,None,9,FLAT_Filtre_None_bin1x1,1.0088098248915318,2019-02-15T03:02:41.990623,60.0,4.8,13.379201048884035,44.7149753302912,422.12353823515986,210.33592833718345,50.0,50.0,No,T1M_20190215_030241_990_HD116405-HOE200MM_Filtre_None_bin1x1.9_red.fit
13,HD116405,Holo150PDM19,None,10,FLAT_Filtre_None_bin1x1,1.0083664471310885,2019-02-15T03:03:47.352829,60.0,4.8,13.379201048884035,44.7149753302912,446.3846277831465,213.8073384108363,50.0,50.0,No,T1M_20190215_030347_352_HD116405-HOE200MM_Filtre_None_bin1x1.10_red.fit
14,HD116405,Holo150PDM19,None,11,FLAT_Filtre_None_bin1x1,1.0079353106161717,2019-02-15T03:04:52.714234,60.0,4.8,13.379201048884035,44.7149753302912,469.07201073060685,217.1703050295281,50.0,50.0,No,T1M_20190215_030452_714_HD116405-HOE200MM_Filtre_None_bin1x1.11_red.fit
15,HD116405,Holo150PDM19,None,12,FLAT_Filtre_None_bin1x1,1.0075163844799442,2019-02-15T03:05:58.076313,60.0,4.8,13.379201048884035,44.7149753302912,495.31055717492785,219.00823255722474,50.0,50.0,No,T1M_20190215_030558_076_HD116405-HOE200MM_Filtre_None_bin1x1.12_red.fit
16,HD116405,Holo150PDM19,None,13,FLAT_Filtre_None_bin1x1,1.0071096571787002,2019-02-15T03:07:03.437668,60.0,4.8,13.379201048884035,44.7149753302912,516.1552697892896,221.08274733596156,50.0,50.0,No,T1M_20190215_030703_437_HD116405-HOE200MM_Filtre_None_bin1x1.13_red.fit
17,HD116405,Holo150PDM19,None,14,FLAT_Filtre_None_bin1x1,1.00671510182993,2019-02-15T03:08:08.799409,60.0,4.8,13.379201048884035,44.7149753302912,536.8516803697671,223.1769586155751,50.0,50.0,No,T1M_20190215_030808_799_HD116405-HOE200MM_Filtre_None_bin1x1.14_red.fit
18,HD116405,Holo150PDM19,None,15,FLAT_Filtre_None_bin1x1,1.0063327059221066,2019-02-15T03:09:14.160399,60.0,4.8,13.379201048884035,44.7149753302912,566.2882355060598,222.95192782243626,50.0,50.0,No,T1M_20190215_030914_160_HD116405-HOE200MM_Filtre_None_bin1x1.15_red.fit
19,HD116405,Holo150PDM19,None,16,FLAT_Filtre_None_bin1x1,1.0059624476163056,2019-02-15T03:10:19.521132,60.0,4.8,13.379201048884035,44.7149753302912,583.6836540428579,224.60218806806614,50.0,50.0,No,T1M_20190215_031019_521_HD116405-HOE200MM_Filtre_None_bin1x1.16_red.fit
20,HD116405,Holo150PDM19,None,17,FLAT_Filtre_None_bin1x1,1.0056043012552358,2019-02-15T03:11:24.882991,60.0,4.8,13.379201048884035,44.7149753302912,607.705101765677,226.89671459134598,50.0,50.0,No,T1M_20190215_031124_882_HD116405-HOE200MM_Filtre_None_bin1x1.17_red.fit
21,HD116405,Holo150PDM19,None,18,FLAT_Filtre_None_bin1x1,1.0052582636140142,2019-02-15T03:12:30.243359,60.0,4.8,13.379201048884035,44.7149753302912,631.6773552538951,234.8286951973544,50.0,50.0,No,T1M_20190215_031230_243_HD116405-HOE200MM_Filtre_None_bin1x1.18_red.fit
22,HD116405,Holo150PDM19,None,19,FLAT_Filtre_None_bin1x1,1.0049243077804215,2019-02-15T03:13:35.604074,60.0,4.8,13.379201048884035,44.7149753302912,683.7016578485277,248.9292291955996,50.0,50.0,No,T1M_20190215_031335_604_HD116405-HOE200MM_Filtre_None_bin1x1.19_red.fit
23,HD116405,Holo150PDM19,None,20,FLAT_Filtre_None_bin1x1,1.0046024156124849,2019-02-15T03:14:40.965564,60.0,4.8,13.379201048884035,44.7149753302912,703.7450044388935,249.3014413867019,50.0,50.0,No,T1M_20190215_031440_965_HD116405-HOE200MM_Filtre_None_bin1x1.20_red.fit
24,HD116405,Holo150PDM19,None,21,FLAT_Filtre_None_bin1x1,1.004292453426446,2019-02-15T03:15:46.353310,60.0,4.8,13.379201048884035,44.7149753302912,717.8578322361183,251.1303959359476,50.0,50.0,No,T1M_20190215_031546_353_HD116405-HOE200MM_Filtre_None_bin1x1.21_red.fit
