,object,disperser,filt,evnum,flat,airmass,date,exposure,gain,ra,dec,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,file
0,HD116405,Ron145ROTPDM19,None,1,FLAT_Filtre_None_bin1x1,1.3635759505885878,2019-02-14T23:41:22.495856,4.0,4.8,13.379201048884035,44.7149753302912,275.42611256205555,1431.940654759386,50.0,50.0,No,T1M_20190214_234122_495_HD116405-Ronchi_Filtre_None_bin1x1.1_red_rot.fit
1,HD116405,Ron145ROTPDM19,None,2,FLAT_Filtre_None_bin1x1,1.3595483162054616,2019-02-14T23:42:28.130353,4.0,4.8,13.379201048884035,44.7149753302912,275.1269119777394,1429.7104499298562,50.0,50.0,No,T1M_20190214_234228_130_HD116405-Ronchi_Filtre_None_bin1x1.2_red_rot.fit
2,HD116405,Ron145ROTPDM19,None,3,FLAT_Filtre_None_bin1x1,1.3552396160510602,2019-02-14T23:43:38.976759,30.0,4.8,13.379201048884035,44.7149753302912,281.22027815535216,1432.0674904317755,50.0,50.0,No,T1M_20190214_234338_976_HD116405-Ronchi_Filtre_None_bin1x1.3_red_rot.fit
3,HD116405,Ron145ROTPDM19,None,4,FLAT_Filtre_None_bin1x1,1.3522634918345953,2019-02-14T23:44:28.299483,30.0,4.8,13.379201048884035,44.7149753302912,279.137913473043,1432.4487792899724,50.0,50.0,No,T1M_20190214_234428_299_HD116405-Ronchi_Filtre_None_bin1x1.4_red_rot.fit
4,HD116405,Holo150ROTPDM19,None,1,FLAT_Filtre_None_bin1x1,1.1680577524149285,2019-02-15T00:49:49.533342,4.0,4.8,13.379201048884035,44.7149753302912,311.0041835551882,1452.170460913109,50.0,50.0,No,T1M_20190215_004949_533_HD116405-HOE1_Filtre_None_bin1x1.1_red_rot.fit
5,HD116405,Holo150ROTPDM19,None,2,FLAT_Filtre_None_bin1x1,1.1677185308681035,2019-02-15T00:49:59.034662,4.0,4.8,13.379201048884035,44.7149753302912,311.4749487843005,1451.7202598689526,50.0,50.0,No,T1M_20190215_004959_034_HD116405-HOE1_Filtre_None_bin1x1.2_red_rot.fit
6,HD116405,Holo150ROTPDM19,None,3,FLAT_Filtre_None_bin1x1,1.1673796414171225,2019-02-15T00:50:08.539129,4.0,4.8,13.379201048884035,44.7149753302912,311.5860370304427,1451.485625624144,50.0,50.0,No,T1M_20190215_005008_539_HD116405-HOE1_Filtre_None_bin1x1.3_red_rot.fit
7,HD116405,Holo150ROTPDM19,None,4,FLAT_Filtre_None_bin1x1,1.1670412027064745,2019-02-15T00:50:18.043409,4.0,4.8,13.379201048884035,44.7149753302912,312.88862887676316,1451.4275452247143,50.0,50.0,No,T1M_20190215_005018_043_HD116405-HOE1_Filtre_None_bin1x1.4_red_rot.fit
8,HD116405,Holo150ROTPDM19,None,5,FLAT_Filtre_None_bin1x1,1.1667031478484997,2019-02-15T00:50:27.549371,4.0,4.8,13.379201048884035,44.7149753302912,316.4139322395979,1451.1574607355892,50.0,50.0,No,T1M_20190215_005027_549_HD116405-HOE1_Filtre_None_bin1x1.5_red_rot.fit
9,HD116405,Holo150ROTPDM19,None,1,FLAT_Filtre_None_bin1x1,1.152211506946366,2019-02-15T00:57:27.304366,4.0,4.8,13.379201048884035,44.7149753302912,378.2610672560297,1520.3821312180112,50.0,50.0,No,T1M_20190215_005727_304_HD116405-HOE1-190MM_Filtre_None_bin1x1.1_red_rot.fit
