,object,disperser,filt,evnum,flat,airmass,date,exposure,gain,ra,dec,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,file
0,HD116405,Ron145PDM19,None,1,FLAT_Filtre_None_bin1x1,1.3635759505885878,2019-02-14T23:41:22.495856,4.0,4.8,13.379201048884035,44.7149753302912,205.7786977378891,183.34504599768917,50.0,50.0,No,T1M_20190214_234122_495_HD116405-Ronchi_Filtre_None_bin1x1.1_red_red.fit
1,HD116405,Ron145PDM19,None,2,FLAT_Filtre_None_bin1x1,1.3595483162054616,2019-02-14T23:42:28.130353,4.0,4.8,13.379201048884035,44.7149753302912,207.44906670522164,181.8416129542247,50.0,50.0,No,T1M_20190214_234228_130_HD116405-Ronchi_Filtre_None_bin1x1.2_red_red.fit
2,HD116405,Ron145PDM19,None,3,FLAT_Filtre_None_bin1x1,1.3552396160510602,2019-02-14T23:43:38.976759,30.0,4.8,13.379201048884035,44.7149753302912,209.8823238820473,188.26218369941898,50.0,50.0,No,T1M_20190214_234338_976_HD116405-Ronchi_Filtre_None_bin1x1.3_red_red.fit
3,HD116405,Ron145PDM19,None,4,FLAT_Filtre_None_bin1x1,1.3522634918345953,2019-02-14T23:44:28.299483,30.0,4.8,13.379201048884035,44.7149753302912,208.0217533002144,187.4894574461221,50.0,50.0,No,T1M_20190214_234428_299_HD116405-Ronchi_Filtre_None_bin1x1.4_red_red.fit
4,HD116405,Holo150PDM19,None,1,FLAT_Filtre_None_bin1x1,1.1680577524149285,2019-02-15T00:49:49.533342,4.0,4.8,13.379201048884035,44.7149753302912,216.79673852510533,222.7708116272713,50.0,50.0,No,T1M_20190215_004949_533_HD116405-HOE1_Filtre_None_bin1x1.1_red_red.fit
5,HD116405,Holo150PDM19,None,2,FLAT_Filtre_None_bin1x1,1.1677185308681035,2019-02-15T00:49:59.034662,4.0,4.8,13.379201048884035,44.7149753302912,217.31784624138112,222.1207807045373,50.0,50.0,No,T1M_20190215_004959_034_HD116405-HOE1_Filtre_None_bin1x1.2_red_red.fit
6,HD116405,Holo150PDM19,None,3,FLAT_Filtre_None_bin1x1,1.1673796414171225,2019-02-15T00:50:08.539129,4.0,4.8,13.379201048884035,44.7149753302912,217.60196124704132,222.65586137558014,50.0,50.0,No,T1M_20190215_005008_539_HD116405-HOE1_Filtre_None_bin1x1.3_red_red.fit
7,HD116405,Holo150PDM19,None,4,FLAT_Filtre_None_bin1x1,1.1670412027064745,2019-02-15T00:50:18.043409,4.0,4.8,13.379201048884035,44.7149753302912,218.3844952128869,223.28039270089906,50.0,50.0,No,T1M_20190215_005018_043_HD116405-HOE1_Filtre_None_bin1x1.4_red_red.fit
8,HD116405,Holo150PDM19,None,5,FLAT_Filtre_None_bin1x1,1.1667031478484997,2019-02-15T00:50:27.549371,4.0,4.8,13.379201048884035,44.7149753302912,220.7150812146324,225.3682070097334,50.0,50.0,No,T1M_20190215_005027_549_HD116405-HOE1_Filtre_None_bin1x1.5_red_red.fit
9,HD116405,Holo150PDM19,None,1,FLAT_Filtre_None_bin1x1,1.152211506946366,2019-02-15T00:57:27.304366,4.0,4.8,13.379201048884035,44.7149753302912,216.04020048909626,318.0318826118414,50.0,50.0,No,T1M_20190215_005727_304_HD116405-HOE1-190MM_Filtre_None_bin1x1.1_red_red.fit
10,HD116405,Holo150PDM19,None,2,FLAT_Filtre_None_bin1x1,1.1518931192288602,2019-02-15T00:57:36.808166,4.0,4.8,13.379201048884035,44.7149753302912,218.55889048590447,318.5980197816598,50.0,50.0,No,T1M_20190215_005736_808_HD116405-HOE1-190MM_Filtre_None_bin1x1.2_red_red.fit
11,HD116405,Holo150PDM19,None,3,FLAT_Filtre_None_bin1x1,1.1515749075677273,2019-02-15T00:57:46.319386,4.0,4.8,13.379201048884035,44.7149753302912,222.21700441574868,320.27739294921736,50.0,50.0,No,T1M_20190215_005746_319_HD116405-HOE1-190MM_Filtre_None_bin1x1.3_red_red.fit
