# x_star y_star min_fwhm
551.307 372.903 7.400
703.554 373.055 6.100
855.816 374.123 6.700
1008.063 375.785 7.300
1160.687 377.553 8.500
545.671 519.647 5.600
697.693 519.199 5.900
850.336 520.320 6.200
1002.460 522.844 7.100
1154.849 524.505 7.600
539.987 666.349 5.500
691.893 666.530 5.100
844.476 666.163 5.200
995.640 668.624 6.000
1147.867 673.017 6.800
532.442 813.619 5.800
684.231 814.900 5.200
836.240 816.346 5.800
988.441 819.240 6.500
1142.409 820.566 7.200
525.843 963.828 7.500
677.964 963.336 6.500
830.101 964.590 6.800
982.136 965.818 7.800
1134.583 967.809 7.900
