# x_star y_star min_fwhm
441.894 387.698 8.400
594.464 383.071 7.000
747.197 379.131 6.500
900.327 377.725 6.300
1052.842 375.789 6.900
440.394 536.079 6.200
592.569 530.650 6.500
745.145 526.565 5.500
898.184 524.568 5.100
1050.986 522.298 5.200
438.039 684.442 5.500
590.744 679.046 6.800
743.427 675.142 5.600
896.229 672.310 4.500
1049.224 671.172 4.400
434.912 831.047 8.400
587.753 825.776 8.400
740.741 822.358 7.200
893.031 820.540 6.500
1046.072 818.550 5.500
433.527 980.852 12.600
586.050 976.003 9.900
738.605 971.956 8.500
892.318 969.203 7.000
1045.140 968.056 6.100
