# x_star y_star min_fwhm
400.0 400.0 25
800.0 400.0 25
1200.0 400.0 25
1600.0 400.0 25
2000.0 400.0 25
2400.0 400.0 25
2800.0 400.0 25
3200.0 400.0 25
3600.0 400.0 25
400.0 800.0 25
800.0 800.0 25
1200.0 800.0 25
1600.0 800.0 25
2000.0 800.0 25
2400.0 800.0 25
2800.0 800.0 25
3200.0 800.0 25
3600.0 800.0 25
400.0 1200.0 25
800.0 1200.0 25
1200.0 1200.0 25
1600.0 1200.0 25
2000.0 1200.0 25
2400.0 1200.0 25
2800.0 1200.0 25
3200.0 1200.0 25
3600.0 1200.0 25
400.0 1600.0 25
800.0 1600.0 25
1200.0 1600.0 25
1600.0 1600.0 25
2000.0 1600.0 25
2400.0 1600.0 25
2800.0 1600.0 25
3200.0 1600.0 25
3600.0 1600.0 25
400.0 2000.0 25
800.0 2000.0 25
1200.0 2000.0 25
1600.0 2000.0 25
2000.0 2000.0 25
2400.0 2000.0 25
2800.0 2000.0 25
3200.0 2000.0 25
3600.0 2000.0 25
400.0 2400.0 25
800.0 2400.0 25
1200.0 2400.0 25
1600.0 2400.0 25
2000.0 2400.0 25
2400.0 2400.0 25
2800.0 2400.0 25
3200.0 2400.0 25
3600.0 2400.0 25
400.0 2800.0 25
800.0 2800.0 25
1200.0 2800.0 25
1600.0 2800.0 25
2000.0 2800.0 25
2400.0 2800.0 25
2800.0 2800.0 25
3200.0 2800.0 25
3600.0 2800.0 25
400.0 3200.0 25
800.0 3200.0 25
1200.0 3200.0 25
1600.0 3200.0 25
2000.0 3200.0 25
2400.0 3200.0 25
2800.0 3200.0 25
3200.0 3200.0 25
3600.0 3200.0 25
400.0 3600.0 25
800.0 3600.0 25
1200.0 3600.0 25
1600.0 3600.0 25
2000.0 3600.0 25
2400.0 3600.0 25
2800.0 3600.0 25
3200.0 3600.0 25
3600.0 3600.0 25
