# x_star y_star theta_in_degree
487.404 294.495 -3.983
636.316 293.720 -3.316
783.598 292.771 -2.829
933.313 292.467 -2.446
1081.718 292.116 -2.006
482.984 440.138 -3.109
632.624 439.976 -2.672
780.251 439.576 -2.421
931.021 439.956 -2.181
1079.205 439.481 -1.967
480.133 588.195 -2.092
628.629 587.386 -1.983
777.457 587.042 -1.938
927.924 586.033 -1.921
1078.228 585.603 -1.907
479.855 735.011 -1.160
630.104 734.642 -1.263
779.498 734.521 -1.418
927.700 734.050 -1.619
1076.944 733.393 -1.827
480.079 883.104 -0.184
628.517 882.786 -0.527
776.440 882.591 -0.898
926.551 882.060 -1.306
1075.106 882.241 -1.732
